"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainCoPolar) []","dB(GainCrossPolar) []"
25.65,0,-180,-8.11032543112981,-35.5902271776516
25.65,0,-178,-8.17511490738291,-28.3878600128321
25.65,0,-176,-8.4115627704397,-21.5544647588254
25.65,0,-174,-8.74952427608984,-18.0808625056441
25.65,0,-172,-9.12456739346383,-16.0101416337443
25.65,0,-170,-9.5025072458907,-14.768719797678
25.65,0,-168,-9.88803996597448,-14.0971414558225
25.65,0,-166,-10.3181348677208,-13.8347019933267
25.65,0,-164,-10.8502129931838,-13.8480695892092
25.65,0,-162,-11.5484197697655,-14.0028115645131
25.65,0,-160,-12.4630343102591,-14.1678432705175
25.65,0,-158,-13.5950829735973,-14.2565373952709
25.65,0,-156,-14.8316647595116,-14.2711289567658
25.65,0,-154,-15.8551403492568,-14.2908727146299
25.65,0,-152,-16.2013606891618,-14.4060650515665
25.65,0,-150,-15.7303112339575,-14.6564162756065
25.65,0,-148,-14.8753639139737,-15.0016477035424
25.65,0,-146,-14.1735531904231,-15.3203232391456
25.65,0,-144,-13.9690915376657,-15.4468177835121
25.65,0,-142,-14.4833849569437,-15.2569112352314
25.65,0,-140,-15.9613882471073,-14.7454673105228
25.65,0,-138,-18.9080118168378,-14.0155560897972
25.65,0,-136,-25.0996530784532,-13.2089618627455
25.65,0,-134,-39.9482297873514,-12.4541835751214
25.65,0,-132,-22.2232410800819,-11.8416436297582
25.65,0,-130,-16.6937139246253,-11.4077021174492
25.65,0,-128,-13.3006005949504,-11.123851608763
25.65,0,-126,-10.8168103216822,-10.9012677884483
25.65,0,-124,-8.85666796867603,-10.6281955385405
25.65,0,-122,-7.27992555936908,-10.2380480039006
25.65,0,-120,-6.03413468846311,-9.75434366260404
25.65,0,-118,-5.09234038199559,-9.26427642076198
25.65,0,-116,-4.42729771004603,-8.85765629760578
25.65,0,-114,-4.00212618393451,-8.59026406565405
25.65,0,-112,-3.76830637178688,-8.47919437438262
25.65,0,-110,-3.66795160656769,-8.51120627554609
25.65,0,-108,-3.64018033703043,-8.65232757635044
25.65,0,-106,-3.63103851873648,-8.85723904398996
25.65,0,-104,-3.6035024320662,-9.08023794411771
25.65,0,-102,-3.54202590185416,-9.28725636824076
25.65,0,-100,-3.44875174132669,-9.46435758112509
25.65,0,-98,-3.33425871995129,-9.61778593485512
25.65,0,-96,-3.20853255459637,-9.76586487082492
25.65,0,-94,-3.07580314631128,-9.92826885104694
25.65,0,-92,-2.93353657584694,-10.1180411266334
25.65,0,-90,-2.7741868581771,-10.3380503712049
25.65,0,-88,-2.588237165537,-10.5808344731916
25.65,0,-86,-2.36745416981335,-10.830281217578
25.65,0,-84,-2.10753477164933,-11.0642276916
25.65,0,-82,-1.80946885540019,-11.2577120357668
25.65,0,-80,-1.47920636325686,-11.3868683013582
25.65,0,-78,-1.12568892693055,-11.4332998168613
25.65,0,-76,-0.757852955720241,-11.3883284351877
25.65,0,-74,-0.381647601112145,-11.2560747940752
25.65,0,-72,0.00165908207929966,-11.0542971005916
25.65,0,-70,0.394711182957446,-10.8125370810086
25.65,0,-68,0.800411733091831,-10.5680522391799
25.65,0,-66,1.21659658796798,-10.3605861306778
25.65,0,-64,1.63200206491983,-10.2269764344053
25.65,0,-62,2.02655818450412,-10.1962580721744
25.65,0,-60,2.37662887931821,-10.2857328613721
25.65,0,-58,2.6628916965073,-10.4986254193608
25.65,0,-56,2.87760488660779,-10.8243356075001
25.65,0,-54,3.02896203675354,-11.2425953974327
25.65,0,-52,3.14116332591933,-11.7323992021034
25.65,0,-50,3.24888968289376,-12.2846905453745
25.65,0,-48,3.38558826885487,-12.9146323223153
